"Corvina, Rondinella, Molinara"	avg=47.78313253012048, count=498
Syrah-Bonarda	avg=37.70823081848252, count=25651568
Syrah-Cabernet	avg=37.701741715475734, count=25760924
Syrah-Cabernet Franc	avg=37.69531317494183, count=25870285
Syrah-Cabernet Sauvignon	avg=37.68894936092946, count=25979683
Syrah-Carignan	avg=37.68263662753983, count=26089085
Syrah-Grenache	avg=37.67635747238472, count=26198544
Syrah-Grenache-Viognier	avg=37.670130846870784, count=26308004
Syrah-Malbec	avg=37.66395492527387, count=26417465
Syrah-Merlot	avg=37.65782716004146, count=26526933
Syrah-Mourvèdre	avg=37.65174555545582, count=26636421
Syrah-Petit Verdot	avg=37.64571396929744, count=26745912
Syrah-Petite Sirah	avg=37.639733381184634, count=26855419
Syrah-Tempranillo	avg=37.633801945660316, count=26964933
Syrah-Viognier	avg=37.627927089233346, count=27074465
Sämling	avg=37.62209941958871, count=27183999
Sémillon	avg=37.61625613915376, count=27293664
Tamianka	avg=37.61045898436431, count=27403330
Tamjanika	avg=37.60470661903148, count=27512998
Tannat	avg=37.59897291498139, count=27622835
Tannat-Cabernet	avg=37.5932686030043, count=27732698
Tannat-Cabernet Franc	avg=37.58759999119334, count=27842577
Tannat-Merlot	avg=37.58196971179465, count=27952465
Tannat-Syrah	avg=37.576378913832585, count=28062359
Tempranillo	avg=37.57042408043546, count=28174042
Tempranillo Blanco	avg=37.56451358129861, count=28285734
Tempranillo Blend	avg=37.558615429694385, count=28398009
Tempranillo-Cabernet Sauvignon	avg=37.55278950227772, count=28510337
Tempranillo-Garnacha	avg=37.54698105492994, count=28622697
Tempranillo-Merlot	avg=37.54121361970866, count=28735064
Tempranillo-Shiraz	avg=37.535484657754196, count=28847439
Tempranillo-Syrah	avg=37.529798773583366, count=28959816
Tempranillo-Tannat	avg=37.524156243591385, count=29072194
Teran	avg=37.51855440505069, count=29184579
Teroldego	avg=37.51299010314914, count=29296996
Teroldego Rotaliano	avg=37.50746757483845, count=29409414
Terrantez	avg=37.50199382944819, count=29521833
Thrapsathiri	avg=37.49656119221227, count=29634253
Timorasso	avg=37.49117030816012, count=29746678
Tinta Amarela	avg=37.48581976873787, count=29859104
Tinta Barroca	avg=37.480507904600415, count=29971534
Tinta Cao	avg=37.47523418288666, count=30083966
Tinta Fina	avg=37.469997011896346, count=30196409
Tinta Francisca	avg=37.46479994047944, count=30308855
Tinta Madeira	avg=37.45964153671003, count=30421302
Tinta Miúda	avg=37.45451928082733, count=30533752
Tinta Negra Mole	avg=37.44943704771518, count=30646203
Tinta Roriz	avg=37.44438935969391, count=30758664
Tinta de Toro	avg=37.439420769264906, count=30871290
Tinta del Pais	avg=37.43448895004176, count=30983918
Tinta del Toro	avg=37.42959149582804, count=31096549
Tintilia 	avg=37.424728992407715, count=31209181
Tinto Fino	avg=37.419987118922144, count=31321913
Tinto Velasco	avg=37.41527835242681, count=31434646
Tinto del Pais	avg=37.41060439946916, count=31547397
Tocai	avg=37.40595916817469, count=31660157
Tocai Friulano	avg=37.40133900747041, count=31772937
Tokaji	avg=37.39676717554619, count=31885740
Tokay	avg=37.39222967915734, count=31998550
Tokay Pinot Gris	avg=37.387723833941514, count=32111361
Torbato	avg=37.3832484581296, count=32224174
Torontel	avg=37.37880438957394, count=32336988
Torrontés	avg=37.374211792407465, count=32450049
Touriga	avg=37.36965185116055, count=32563113
Touriga Franca	avg=37.36512124549182, count=32676184
Touriga Nacional	avg=37.36057646385292, count=32789428
Touriga Nacional Blend	avg=37.356059167935406, count=32902686
Touriga Nacional-Cabernet Sauvignon	avg=37.35155450528941, count=33015970
Trajadura	avg=37.347079733607046, count=33129255
Traminer	avg=37.3426221146413, count=33242574
Traminette	avg=37.3381881162084, count=33355903
Trebbiano	avg=37.33376608844978, count=33469275
Trebbiano Spoletino	avg=37.329371694647584, count=33582652
Trebbiano di Lugana	avg=37.32500616096281, count=33696032
Treixadura	avg=37.320668103840305, count=33809415
Trepat	avg=37.3163543536844, count=33922808
Trincadeira	avg=37.31205702159978, count=34036225
Trollinger	avg=37.30778730811952, count=34149644
Trousseau	avg=37.30354592578966, count=34263069
Trousseau Gris	avg=37.29933134257397, count=34376497
Tsapournakos	avg=37.295144182101176, count=34489926
Tsolikouri	avg=37.290983799374835, count=34603356
Turbiana	avg=37.28679426511536, count=34716932
Tămâioasă Românească	avg=37.282630544313015, count=34830510
Ugni Blanc	avg=37.278493007587464, count=34944091
Ugni Blanc-Colombard	avg=37.27437550703939, count=35057681
Uva di Troia	avg=37.27027986808784, count=35171284
Uvalino	avg=37.26621013318194, count=35284889
Valdiguié	avg=37.262163425003884, count=35398500
Valvin Muscat	avg=37.25814192633769, count=35512112
Veltliner	avg=37.25414520652041, count=35625728
Verdeca	avg=37.250170869088855, count=35739349
Verdejo	avg=37.246050951962225, count=35853261
Verdejo-Sauvignon Blanc	avg=37.24195331643756, count=35967178
Verdejo-Viura	avg=37.23786544634968, count=36081117
Verdelho	avg=37.233777677874784, count=36195111
Verdicchio	avg=37.22964799123177, count=36309266
Verdil	avg=37.22554366253671, count=36423422
Verdosilla	avg=37.22146442707657, count=36537579
Verduzzo	avg=37.217410026988894, count=36651741
Verduzzo Friulano 	avg=37.213382202522084, count=36765906
Vermentino	avg=37.209297554644245, count=36880278
Vermentino Nero	avg=37.20523837351514, count=36994651
Vernaccia	avg=37.201141174077016, count=37109150
Vespaiolo	avg=37.197069255701685, count=37223650
Vespolina	avg=37.193021657847446, count=37338152
Vidadillo	avg=37.18899845685172, count=37452655
Vidal	avg=37.184999966326984, count=37567169
Vidal Blanc	avg=37.181022595083064, count=37681738
Vignoles	avg=37.177063755257855, count=37796318
Vilana	avg=37.17312645317698, count=37910902
Vinhão	avg=37.16921208216973, count=38025488
Viognier	avg=37.165035192127206, count=38141059
Viognier-Chardonnay	avg=37.16088005433201, count=38256638
Viognier-Gewürztraminer	avg=37.15674879266169, count=38372219
Viognier-Grenache Blanc	avg=37.15264194217581, count=38487803
Viognier-Marsanne	avg=37.148558377904116, count=38603390
Viognier-Roussanne	avg=37.14449712833374, count=38718984
Viognier-Valdiguié	avg=37.14045953736231, count=38834579
Viosinho	avg=37.13644414830546, count=38950179
Vitovska	avg=37.13245461206946, count=39065782
Viura	avg=37.1284301081965, count=39181490
Viura-Chardonnay	avg=37.124420585471064, count=39297211
Viura-Verdejo	avg=37.12043333287494, count=39412934
Vranac	avg=37.116468765521965, count=39528658
Vranec	avg=37.11252521353212, count=39644386
Weissburgunder	avg=37.10859389801644, count=39760153
Welschriesling	avg=37.10468030549948, count=39875944
White Blend	avg=37.1000366630847, count=39993907
White Port	avg=37.09542040559514, count=40111871
White Riesling	avg=37.0908246285196, count=40229848
Xarel-lo	avg=37.086244777478335, count=40347846
Xinisteri	avg=37.081691213911384, count=40465845
Xinomavro	avg=37.077152684972724, count=40583876
Xynisteri	avg=37.07263956587393, count=40701909
Yapincak	avg=37.068151612358896, count=40819944
Zibibbo	avg=37.06368973946387, count=40938007
Zierfandler	avg=37.05925221992688, count=41056082
Zierfandler-Rotgipfler	avg=37.05483885876873, count=41174161
Zinfandel	avg=37.049955093780476, count=41294948
Zlahtina	avg=37.045098726602404, count=41415737
Zweigelt	avg=37.040202584181685, count=41536708
Çalkarası	avg=37.035334011991694, count=41657681
Žilavka	avg=37.03049310706628, count=41778655
